title,tag,img,date,readTime,text
How I learnt to do sales, starting out as a coder,Null,https://blog.ankitsanghvi.in/content/images/size/w600/2024/03/ss.png,3 Mar 2024,3 Mar 2024 • 1 min read,Breaking some personal barriers to actually be good at telling the world about the problem we're solving and the product we're building
Baking customer obsession into everyday decisions,Entrepreneurship,https://blog.ankitsanghvi.in/content/images/size/w600/2024/01/Screenshot-2024-01-14-at-4.18.06-PM.png,15 Jan 2024,15 Jan 2024 • 3 min read,Simple ways you can turn your project into a customer-centric product.
Social Capital,Life,https://blog.ankitsanghvi.in/content/images/size/w600/2023/12/socialcap.png,21 Dec 2023,21 Dec 2023 • 5 min read,Superfast read on 6 ways to get more people to like you and make them strong connections.
Interactive VR app 101,AR/VR,https://blog.ankitsanghvi.in/content/images/size/w600/2023/12/vri.png,18 Dec 2023,18 Dec 2023 • 5 min read,Building a real-world interviewer who gives good feedback
The state of sales in 2023,Sale,https://blog.ankitsanghvi.in/content/images/size/w600/2023/11/sales-state--1-.png,17 Nov 2023,17 Nov 2023 • 6 min read,The current approach, tools and terminology, key insights, challenges and opportunities available in the sales domain
Maximizing LLM performance,Null,https://blog.ankitsanghvi.in/content/images/size/w600/2023/11/strongai.png,7 Nov 2023,7 Nov 2023 • 4 min read,Short excerpt on how LLMs can be pushed from prototype to performance in a scalable way
BuildSchool - bet on student projects,Education,https://blog.ankitsanghvi.in/content/images/size/w600/2023/11/Screenshot-2023-11-03-at-12.37.24-AM.png,3 Nov 2023,3 Nov 2023 • 5 min read,How to inspire students to take a bet on themselves and build something 0 to 1
HuggingSage,Machine Learning,https://blog.ankitsanghvi.in/content/images/size/w600/2023/10/huggingsage.png,22 Oct 2023,22 Oct 2023 • 8 min read,Using Amazon Sagemaker to deploy whichever Hugging Face models you want, along with API inference
Can VR revolutionize education?,AR/VR,https://blog.ankitsanghvi.in/content/images/size/w600/2023/10/meh.jpg,4 Oct 2023,4 Oct 2023 • 10 min read,A case study on how simulated environments in VR can be used to track the implicit learning experiences
Escaping your mind, into unimaginable futures,Product,https://images.unsplash.com/photo-1452696193712-6cabf5103b63?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMTc3M3wwfDF8c2VhcmNofDJ8fGZ1dHVyZXxlbnwwfHx8fDE2OTYzOTczNDJ8MA&ixlib=rb-4.0.3&q=80&w=600,4 Oct 2023,4 Oct 2023 • 3 min read,Understanding basics of futurecasting and learning from examples of people who did it wrong.
Impact of Technology on Employability and Wealth,Null,https://images.unsplash.com/photo-1495055154266-57bbdeada43e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMTc3M3wwfDF8c2VhcmNofDUzfHxhdXRvbWF0aW9ufGVufDB8fHx8MTY5MzYxMzAwNHww&ixlib=rb-4.0.3&q=80&w=600,2 Sep 2023,2 Sep 2023 • 3 min read,Understanding what the future of work and employment could be like, given advancements in tech
Switching streams midway,Null,https://images.unsplash.com/photo-1634763106795-a166c5bf34ac?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMTc3M3wwfDF8c2VhcmNofDE2fHwyJTIwcm9hZHN8ZW58MHx8fHwxNjkyMTc2NDA4fDA&ixlib=rb-4.0.3&q=80&w=600,16 Aug 2023,16 Aug 2023 • 11 min read,I did my undergraduate in Civil Engineering and pursued my career in software. This blog would be the story and the specifics of what a lot of people have asked
Technology and India - 1970 vs 2023,College,https://blog.ankitsanghvi.in/content/images/size/w600/2023/08/Screenshot-2023-08-09-at-10.18.15-AM-1.png,9 Aug 2023,9 Aug 2023 • 7 min read,A very small mental snapshot of what my undegrad college (IIT Madras) felt like when I graduated
